subj_idx,change_number,rhythm,response,rt,x1,x2,x3,x4,x5,x6
8,2,0,0,0.641124999965541,0,1,0,0,0,0
8,0,1,1,0.633006699965335,1,0,0,1,0,0
8,4,1,1,1.02351099997759,0,0,1,0,0,1
8,2,0,1,1.63616819999879,0,1,0,0,0,0
8,4,1,0,0.882745000009891,0,0,1,0,0,1
8,4,1,1,1.3004959000391,0,0,1,0,0,1
8,4,1,1,0.581255500030238,0,0,1,0,0,1
8,2,0,1,1.1968544999836,0,1,0,0,0,0
8,0,0,1,0.931423500005621,1,0,0,0,0,0
8,4,0,1,1.41240920004202,0,0,1,0,0,0
8,4,1,1,0.58206510002492,0,0,1,0,0,1
8,0,0,0,1.29484940000111,1,0,0,0,0,0
8,2,1,1,1.92241719999583,0,1,0,0,1,0
8,4,0,1,0.698917599976994,0,0,1,0,0,0
8,0,1,1,0.90935490000993,1,0,0,1,0,0
8,0,1,1,0.808300800039433,1,0,0,1,0,0
8,0,1,1,1.10303840000415,1,0,0,1,0,0
8,0,1,1,0.498913699993864,1,0,0,1,0,0
8,4,1,1,1.96529869997175,0,0,1,0,0,1
8,2,0,0,0.600410400016699,0,1,0,0,0,0
8,4,1,1,2.69637620000867,0,0,1,0,0,1
8,0,0,1,0.563589000026695,1,0,0,0,0,0
8,2,0,1,0.986368499987293,0,1,0,0,0,0
8,0,0,1,1.21564760000911,1,0,0,0,0,0
8,0,1,1,0.708179000008386,1,0,0,1,0,0
8,4,0,1,1.53518919995986,0,0,1,0,0,0
8,2,0,0,0.651627000013832,0,1,0,0,0,0
8,4,1,1,1.22222890000558,0,0,1,0,0,1
8,4,0,1,1.02258799999254,0,0,1,0,0,0
8,0,0,1,0.856145899975672,1,0,0,0,0,0
8,0,0,1,0.569495100004133,1,0,0,0,0,0
8,4,0,1,0.687279499950819,0,0,1,0,0,0
8,0,0,1,1.65458080003737,1,0,0,0,0,0
8,2,1,1,1.45274649997009,0,1,0,0,1,0
8,2,0,1,1.25274800002808,0,1,0,0,0,0
8,2,0,1,0.810697800014168,0,1,0,0,0,0
8,4,0,1,0.763230799988378,0,0,1,0,0,0
8,0,0,1,1.34867420000955,1,0,0,0,0,0
8,0,0,1,0.795772999990731,1,0,0,0,0,0
8,4,1,1,0.834385499998461,0,0,1,0,0,1
8,2,0,1,0.720159400021657,0,1,0,0,0,0
8,4,1,1,0.804998699983116,0,0,1,0,0,1
8,4,0,1,0.998079899989534,0,0,1,0,0,0
8,4,1,1,1.34456749999663,0,0,1,0,0,1
8,4,1,1,0.698050400009379,0,0,1,0,0,1
8,0,1,1,0.845661500003189,1,0,0,1,0,0
8,0,1,1,1.9660268999869,1,0,0,1,0,0
8,2,0,1,1.43348149996018,0,1,0,0,0,0
8,2,0,1,0.898240600014105,0,1,0,0,0,0
8,2,1,1,0.890247100032866,0,1,0,0,1,0
8,0,0,1,1.34387929999502,1,0,0,0,0,0
