subj_idx,rhythm,response,stim,rt,change_number
15,0,1,0,0.649672699975781,0
15,1,1,1,0.428882099920884,2
15,0,0,1,1.09256110002752,2
15,0,1,1,1.24043359991629,4
15,0,0,1,0.766205699997954,2
15,1,1,1,0.618456900003366,2
15,1,1,1,0.878431399934925,2
15,1,0,1,1.70036230003461,2
15,0,0,0,0.441586799919605,0
15,1,1,1,0.600176300038584,4
15,1,1,1,0.607492699986324,4
15,1,0,1,0.741964500048198,4
15,0,0,1,1.02479609998409,2
15,0,1,1,1.08228400000371,2
15,0,1,1,0.320593099924736,2
15,1,0,0,0.4494141000323,0
15,1,1,0,0.453147600055672,0
15,0,1,1,0.430683300015517,4
15,0,0,1,1.06731469999067,2
15,0,1,1,0.946093100006692,4
15,0,1,0,0.516800399986096,0
15,1,1,1,0.340031599975191,2
15,1,1,1,1.36137189995497,4
15,0,1,1,0.356051700073294,2
15,1,1,1,0.96480179997161,4
15,0,0,0,1.14933829999063,0
15,1,1,1,1.44287730008364,4
15,0,1,1,0.38890379993245,4
15,1,1,1,0.570393699919805,2
15,1,0,0,0.630444499896839,0
15,1,0,1,0.789443999994546,4
15,1,1,1,1.01543570007198,4
15,1,1,1,0.964320400031283,4
15,1,1,1,0.545393800013699,2
15,1,0,1,1.163365000044,2
15,0,1,0,1.20202389999758,0
15,0,1,0,0.660322699928656,0
15,0,1,0,0.554971600067802,0
15,0,1,0,1.46370620001107,0
15,1,1,1,0.728380299988203,4
15,1,1,1,0.371121399919502,2
15,0,1,0,0.76859550003428,0
15,0,0,0,1.05449350003619,0
15,0,1,0,0.313621500041336,0
15,1,0,1,0.624262999976054,4
15,1,0,0,1.75821969995741,0
15,0,0,1,1.01634199998807,2
15,1,0,1,0.540831800084561,2
15,1,1,0,1.20062220003456,0
15,0,1,1,0.883189099957235,4
15,1,0,0,1.0312010999769,0
15,0,0,1,1.21136069996282,4
15,1,1,0,1.83950080000795,0
15,0,1,1,0.722074000048451,2
15,1,1,1,0.320748000056483,2
15,1,1,1,0.254968900000677,2
15,0,0,1,0.84446170006413,2
15,1,1,0,0.87004639999941,0
15,1,0,1,1.66239140008111,2
15,1,0,1,1.17978210002184,4
15,0,1,1,1.1657331000315,2
15,0,1,1,0.557703699916601,4
15,1,1,1,0.922783900052309,2
16,1,1,0,1.36475070007145,0
16,1,0,0,1.96540939994156,0
16,0,1,1,0.684885599999689,2
16,1,1,1,1.11054770008195,4
16,0,1,1,1.14833540003747,4
16,1,1,1,1.22495010006242,4
16,1,1,1,0.644968600012362,2
16,1,1,1,0.587853799923323,4
16,0,1,0,0.99389419995714,0
16,0,1,1,0.69438869995065,2
16,1,1,0,0.626981400069781,0
16,0,1,1,0.630437800078653,4
16,0,1,1,0.733529500081204,4
16,1,1,1,0.379408800043166,2
16,0,0,0,0.798378100036643,0
16,1,1,1,0.767701899982058,2
16,1,1,1,0.588998400024138,4
16,1,0,0,1.12105349998455,0
16,1,1,1,1.82717259996571,4
16,1,1,1,1.17612369998824,2
16,0,1,1,1.66396729997359,2
16,1,0,0,1.36221809999552,0
16,1,1,0,0.978347600088455,0
16,0,0,1,2.1437736999942,2
16,0,1,1,0.576075199991465,4
16,1,1,1,1.57162349997088,2
16,0,1,1,0.36828409996815,2
16,0,1,1,0.633468099986203,2
16,1,0,0,1.4171961999964,0
16,0,1,0,1.51009360002354,0
16,0,1,1,0.898837700020522,4
16,1,1,1,0.951398300006986,4
16,1,1,1,1.92768550000619,4
16,1,0,0,0.963554900023155,0
16,1,1,1,0.536221100017428,2
16,0,1,1,0.301192700047977,2
16,0,0,0,0.36569220002275,0
16,1,1,1,0.360964099992998,4
16,1,1,1,0.388488700031303,2
16,1,1,1,0.419836399960332,2
16,1,1,1,0.333792299963534,2
16,1,1,1,1.08097880007699,4
16,1,0,1,1.73236310004722,2
16,0,0,0,0.494895700016059,0
16,0,0,0,1.24601160001475,0
16,1,1,1,1.58793010003865,4
16,0,1,0,0.666675299988128,0
16,1,1,0,0.32663040002808,0
16,1,1,1,2.9506287999684,2
16,0,1,1,0.527928299969062,4
16,0,0,1,2.04274299996905,2
16,1,1,1,0.296877499902621,2
16,0,1,1,0.432851599995047,2
16,0,0,0,0.703265300020576,0
16,0,1,1,0.334752100054175,2
16,0,1,1,0.394004700006917,4
16,0,0,1,0.604676700080745,4
16,0,1,0,0.341562599991448,0
16,0,0,0,0.779472700087354,0
16,0,0,1,1.85549770004582,4
16,0,1,0,0.952762600034475,0
16,0,0,1,0.791867699939758,2
16,1,1,1,0.377451900043525,2
16,1,1,1,0.327914300025441,2
16,0,0,0,0.420612200046889,0
16,1,0,0,0.565933399950154,0
16,0,1,1,0.319851999985985,4
16,1,1,0,0.75342619989533,0
16,1,1,1,1.01133520004805,2
16,1,1,1,0.301133599947207,2
16,0,1,1,0.608345100074075,2
16,0,1,1,0.31617460004054,4
16,1,0,1,0.704508100054227,2
16,1,0,1,0.319928999990225,2
16,1,1,1,0.905252600088716,4
16,1,1,1,0.423907099990174,4
16,1,0,1,0.295197200030088,4
16,0,1,0,0.293661799980327,0
16,1,0,1,0.373901799903251,2
16,1,1,1,1.14553709991742,4
16,1,1,1,0.522529599955305,4
16,0,1,1,0.293287299922667,4
